model,G,coeff,slope,r2,n_pts
DiT-mini,all,35.290407508172585,1.1423337670743432,0.9441587613602106,34
DiT-mini,2,45.78405776051934,1.0786516277502116,0.9986460498854477,5
DiT-mini,3,36.188250459665596,1.14518759125761,0.9935054485267819,4
DiT-mini,4,18.97566568763761,1.252868704144918,0.987822231878386,4
DiT-mini,6,18.626620833343093,1.2447101048335154,0.9818421302970726,5
DiT-mini,9,70.19494047510386,1.0465746664630178,0.9985825324159241,4
DiT-mini,12,23.986318786213673,1.1906595404653213,0.9855227440450146,4
DiT-mini,18,26.42639844321383,1.1687729710804045,0.9965542416189431,4
DiT-mini,36,19.26345211530361,1.2154514922797472,0.9965409445079516,4
GPT-mini,all,2.1353893769208137,0.9707348917457901,0.9443109568748609,34
GPT-mini,2,0.6291899426686481,1.0958622931048119,0.9870574362370134,4
GPT-mini,3,1.1168130872591928,1.0223471872608858,0.9920613812603607,4
GPT-mini,4,2.2232627698791925,0.9606542671771439,0.9925978578184993,4
GPT-mini,6,10.978235801792113,0.8074338892447468,0.8269183183511881,6
GPT-mini,9,1.0382427410035708,1.0522565676772422,0.9985982748115972,4
GPT-mini,12,0.7005257473995744,1.0913037800879515,0.9967034401148321,4
GPT-mini,18,1.4443971409670067,1.0087920690962617,0.9960590030087343,4
GPT-mini,36,2.1787203357586296,0.9687069617352182,0.9785617631071342,4
GPT-B,all,0.5334880319545076,1.0609020156662703,0.9745369059890184,16
GPT-B,2,0.09264576334019076,1.2668307524671218,1.0,2
GPT-B,3,0.36751084249470845,1.0978135020607678,1.0,2
GPT-B,4,0.6148220771518583,1.0381929539063204,1.0,2
GPT-B,6,0.11139655466688983,1.2511067356721723,1.0,2
GPT-B,9,0.8628966037623389,1.0039342871218961,1.0,2
GPT-B,12,1.6559008520615606,0.9297128521510875,1.0,2
GPT-B,18,1.425652713948845,0.9392813018222967,1.0,2
GPT-B,36,1.3812544211435995,0.9603437401285172,1.0,2
