exp_name,model_arch,model_size,G,N,D,n_layer,n_embd,n_head,lr,wd,nsteps,rep,support_size,stat_mem_frac,rule_onset_acc85,rule_onset_acc90,rule_onset_acc95,mem_onset_mem10,mem_onset_mem20,mem_onset_mem35,mem_onset_mem50,mem_onset_stat,stat_mem_thresh,innov_acc90_mem10,innov_acc90_mem20,innov_acc90_mem35,innov_acc90_mem50,innov_acc90_stat
DiT_B_parity_N4096_D36_G2_even,DiT,B,2,4096,36,12,768,12,0.0001,0.0,1000000,1,262144,0.015625,756.0,772.0,1284.0,288416.0,318112.0,370336.0,444064.0,293536.0,0.115625,287644.0,317340.0,369564.0,443292.0,292764.0
DiT_B_parity_N4096_D36_G3_even,DiT,B,3,4096,36,12,768,12,0.0001,0.0,1000000,1,16777216,0.000244140625,5512.0,5512.0,5768.0,329376.0,358048.0,409248.0,492192.0,329376.0,0.100244140625,323864.0,352536.0,403736.0,486680.0,323864.0
DiT_B_parity_N4096_D36_G4_even,DiT,B,4,4096,36,12,768,12,0.0001,0.0,1000000,1,134217728,3.0517578125e-05,62800.0,62800.0,62800.0,291488.0,345760.0,468640.0,629408.0,291488.0,0.100030517578125,228688.0,282960.0,405840.0,566608.0,228688.0
DiT_B_parity_N4096_D36_G6_even,DiT,B,6,4096,36,12,768,12,0.0001,0.0,1000000,1,1073741824,3.814697265625e-06,91472.0,91472.0,91472.0,346784.0,422560.0,536224.0,706208.0,346784.0,0.10000381469726563,255312.0,331088.0,444752.0,614736.0,255312.0
DiT_B_parity_N4096_D36_G9_even,DiT,B,9,4096,36,12,768,12,0.0001,0.0,1000000,1,4294967296,9.5367431640625e-07,,,,210592.0,248480.0,327328.0,430752.0,210592.0,0.10000095367431641,,,,,
DiT_B_parity_N4096_D36_G12_even,DiT,B,12,4096,36,12,768,12,0.0001,0.0,1000000,1,8589934592,4.76837158203125e-07,,,,380576.0,414368.0,469664.0,574112.0,380576.0,0.10000047683715821,,,,,
DiT_B_parity_N4096_D36_G18_even,DiT,B,18,4096,36,12,768,12,0.0001,0.0,1000000,1,17179869184,2.384185791015625e-07,,,,263840.0,292512.0,344736.0,412320.0,263840.0,0.10000023841857911,,,,,
DiT_B_parity_N4096_D36_G36_even,DiT,B,36,4096,36,12,768,12,0.0001,0.0,1000000,1,34359738368,1.1920928955078125e-07,,,,197280.0,236192.0,303776.0,413344.0,197280.0,0.10000011920928956,,,,,
DiT_mini_parity_N1024_D36_G2_even,DiT,mini,2,1024,36,6,384,6,0.0001,0.0,1000000,1,262144,0.00390625,932.0,1028.0,1604.0,78160.0,90960.0,105120.0,140960.0,80208.0,0.10390625,77132.0,89932.0,104092.0,139932.0,79180.0
DiT_mini_parity_N2048_D36_G2_even,DiT,mini,2,2048,36,6,384,6,0.0001,0.0,1000000,1,262144,0.0078125,884.0,964.0,1252.0,174752.0,206496.0,258720.0,332448.0,176800.0,0.1078125,173788.0,205532.0,257756.0,331484.0,175836.0
DiT_mini_parity_N4096_D36_G2_even,DiT,mini,2,4096,36,6,384,6,0.0001,0.0,1000000,1,262144,0.015625,836.0,1076.0,1732.0,339616.0,405152.0,509600.0,677536.0,343712.0,0.115625,338540.0,404076.0,508524.0,676460.0,342636.0
DiT_mini_parity_N4096_D36_G2_even_rep2,DiT,mini,2,4096,36,6,384,6,0.0001,0.0,1000000,2,262144,0.015625,756.0,1108.0,1444.0,357024.0,417440.0,528032.0,684704.0,362144.0,0.115625,355916.0,416332.0,526924.0,683596.0,361036.0
DiT_mini_parity_N8192_D36_G2_even,DiT,mini,2,8192,36,6,384,6,0.0001,0.0,1000000,1,262144,0.03125,1060.0,1236.0,1668.0,733856.0,840352.0,984736.0,,775840.0,0.13125,732620.0,839116.0,983500.0,,774604.0
DiT_mini_parity_N16384_D36_G2_even,DiT,mini,2,16384,36,6,384,6,0.0001,0.0,1000000,1,262144,0.0625,788.0,1044.0,1460.0,,,,,,0.1625,,,,,
DiT_mini_parity_N65536_D36_G2_even,DiT,mini,2,65536,36,6,384,6,0.0001,0.0,1000000,1,262144,0.25,708.0,804.0,1284.0,532.0,692.0,,,,0.35,-272.0,-112.0,,,
DiT_mini_parity_N1024_D36_G3_even,DiT,mini,3,1024,36,6,384,6,0.0001,0.0,1000000,1,16777216,6.103515625e-05,8968.0,9352.0,9992.0,104096.0,122528.0,174752.0,289440.0,104096.0,0.10006103515625,94744.0,113176.0,165400.0,280088.0,94744.0
DiT_mini_parity_N2048_D36_G3_even,DiT,mini,3,2048,36,6,384,6,0.0001,0.0,1000000,1,16777216,0.0001220703125,10768.0,10768.0,11536.0,207520.0,267936.0,381600.0,571040.0,212640.0,0.1001220703125,196752.0,257168.0,370832.0,560272.0,201872.0
DiT_mini_parity_N4096_D36_G3_even,DiT,mini,3,4096,36,6,384,6,0.0001,0.0,1000000,1,16777216,0.000244140625,12816.0,13072.0,13072.0,472736.0,660128.0,,,472736.0,0.100244140625,459664.0,647056.0,,,459664.0
DiT_mini_parity_N4096_D36_G3_even_rep2,DiT,mini,3,4096,36,6,384,6,0.0001,0.0,1000000,2,16777216,0.000244140625,17680.0,17680.0,17680.0,534176.0,678560.0,885408.0,,534176.0,0.100244140625,516496.0,660880.0,867728.0,,516496.0
DiT_mini_parity_N8192_D36_G3_even,DiT,mini,3,8192,36,6,384,6,0.0001,0.0,1000000,1,16777216,0.00048828125,10768.0,10768.0,12304.0,,,,,,0.10048828125,,,,,
DiT_mini_parity_N16384_D36_G3_even,DiT,mini,3,16384,36,6,384,6,0.0001,0.0,1000000,1,16777216,0.0009765625,13072.0,13328.0,14096.0,,,,,,0.1009765625,,,,,
DiT_mini_parity_N65536_D36_G3_even,DiT,mini,3,65536,36,6,384,6,0.0001,0.0,1000000,1,16777216,0.00390625,11024.0,11024.0,12816.0,,,,,,0.10390625,,,,,
DiT_mini_parity_N1024_D36_G4_even,DiT,mini,4,1024,36,6,384,6,0.0001,0.0,1000000,1,134217728,7.62939453125e-06,29456.0,29456.0,31504.0,107168.0,127648.0,160416.0,200352.0,107168.0,0.10000762939453126,77712.0,98192.0,130960.0,170896.0,77712.0
DiT_mini_parity_N2048_D36_G4_even,DiT,mini,4,2048,36,6,384,6,0.0001,0.0,1000000,1,134217728,1.52587890625e-05,55120.0,55120.0,55120.0,292512.0,396960.0,531104.0,687776.0,292512.0,0.1000152587890625,237392.0,341840.0,475984.0,632656.0,237392.0
DiT_mini_parity_N4096_D36_G4_even,DiT,mini,4,4096,36,6,384,6,0.0001,0.0,1000000,1,134217728,3.0517578125e-05,54608.0,54608.0,54608.0,572064.0,743072.0,,,572064.0,0.100030517578125,517456.0,688464.0,,,517456.0
DiT_mini_parity_N4096_D36_G4_even_rep2,DiT,mini,4,4096,36,6,384,6,0.0001,0.0,1000000,2,134217728,3.0517578125e-05,104096.0,104096.0,104096.0,677536.0,838304.0,,,677536.0,0.100030517578125,573440.0,734208.0,,,573440.0
DiT_mini_parity_N8192_D36_G4_even,DiT,mini,4,8192,36,6,384,6,0.0001,0.0,1000000,1,134217728,6.103515625e-05,67408.0,67408.0,67408.0,,,,,,0.10006103515625,,,,,
DiT_mini_parity_N16384_D36_G4_even,DiT,mini,4,16384,36,6,384,6,0.0001,0.0,1000000,1,134217728,0.0001220703125,55120.0,55120.0,55120.0,,,,,,0.1001220703125,,,,,
DiT_mini_parity_N65536_D36_G4_even,DiT,mini,4,65536,36,6,384,6,0.0001,0.0,1000000,1,134217728,0.00048828125,430752.0,430752.0,430752.0,,,,,,0.10048828125,,,,,
DiT_mini_parity_N1024_D36_G6_even,DiT,mini,6,1024,36,6,384,6,0.0001,0.0,1000000,1,1073741824,9.5367431640625e-07,473760.0,550560.0,722592.0,105120.0,134816.0,191136.0,262816.0,105120.0,0.10000095367431641,-445440.0,-415744.0,-359424.0,-287744.0,-445440.0
DiT_mini_parity_N2048_D36_G6_even,DiT,mini,6,2048,36,6,384,6,0.0001,0.0,1000000,1,1073741824,1.9073486328125e-06,,,,241312.0,321184.0,453280.0,578208.0,241312.0,0.10000190734863282,,,,,
DiT_mini_parity_N4096_D36_G6_even_lr1e5,DiT,mini,6,4096,36,6,384,6,1e-05,0.0,1000000,1,1073741824,3.814697265625e-06,612000.0,615072.0,615072.0,,,,,,0.10000381469726563,,,,,
DiT_mini_parity_N4096_D36_G6_even_lr3e5,DiT,mini,6,4096,36,6,384,6,3e-05,0.0,1000000,1,1073741824,3.814697265625e-06,229024.0,229024.0,229024.0,926368.0,,,,926368.0,0.10000381469726563,697344.0,,,,697344.0
DiT_mini_parity_N4096_D36_G6_even,DiT,mini,6,4096,36,6,384,6,0.0001,0.0,1000000,1,1073741824,3.814697265625e-06,,,,521888.0,648864.0,930464.0,,521888.0,0.10000381469726563,,,,,
DiT_mini_parity_N4096_D36_G6_even_lr1e4,DiT,mini,6,4096,36,6,384,6,0.0001,0.0,1000000,1,1073741824,3.814697265625e-06,191136.0,191136.0,191136.0,557728.0,730784.0,,,557728.0,0.10000381469726563,366592.0,539648.0,,,366592.0
DiT_mini_parity_N4096_D36_G6_even_rep2,DiT,mini,6,4096,36,6,384,6,0.0001,0.0,1000000,2,1073741824,3.814697265625e-06,139936.0,139936.0,139936.0,691872.0,905888.0,,,691872.0,0.10000381469726563,551936.0,765952.0,,,551936.0
DiT_mini_parity_N4096_D36_G6_even_wd1e6,DiT,mini,6,4096,36,6,384,6,0.0001,1e-06,1000000,1,1073741824,3.814697265625e-06,111264.0,111264.0,112288.0,703136.0,979616.0,,,703136.0,0.10000381469726563,591872.0,868352.0,,,591872.0
DiT_mini_parity_N4096_D36_G6_even_wd1e5,DiT,mini,6,4096,36,6,384,6,0.0001,1e-05,1000000,1,1073741824,3.814697265625e-06,116384.0,116384.0,116384.0,665248.0,901792.0,,,665248.0,0.10000381469726563,548864.0,785408.0,,,548864.0
DiT_mini_parity_N4096_D36_G6_even_wd1e4,DiT,mini,6,4096,36,6,384,6,0.0001,0.0001,1000000,1,1073741824,3.814697265625e-06,168608.0,168608.0,168608.0,624288.0,850592.0,,,624288.0,0.10000381469726563,455680.0,681984.0,,,455680.0
DiT_mini_parity_N4096_D36_G6_even_wd1e3,DiT,mini,6,4096,36,6,384,6,0.0001,0.001,1000000,1,1073741824,3.814697265625e-06,136864.0,136864.0,136864.0,761504.0,994976.0,,,761504.0,0.10000381469726563,624640.0,858112.0,,,624640.0
DiT_mini_parity_N4096_D36_G6_even_wd1e2,DiT,mini,6,4096,36,6,384,6,0.0001,0.01,1000000,1,1073741824,3.814697265625e-06,,,,459424.0,590496.0,872096.0,,459424.0,0.10000381469726563,,,,,
DiT_mini_parity_N4096_D36_G6_even_wd5e2,DiT,mini,6,4096,36,6,384,6,0.0001,0.05,1000000,1,1073741824,3.814697265625e-06,128672.0,128672.0,128672.0,783008.0,,,,783008.0,0.10000381469726563,654336.0,,,,654336.0
DiT_mini_parity_N4096_D36_G6_even_lr3e4,DiT,mini,6,4096,36,6,384,6,0.0003,0.0,1000000,1,1073741824,3.814697265625e-06,664224.0,665248.0,668320.0,,,,,,0.10000381469726563,,,,,
DiT_mini_parity_N4096_D36_G6_even_lr1e3,DiT,mini,6,4096,36,6,384,6,0.001,0.0,1000000,1,1073741824,3.814697265625e-06,,,,,,,,,0.10000381469726563,,,,,
DiT_mini_parity_N4096_D36_G6_even_lr3e3,DiT,mini,6,4096,36,6,384,6,0.003,0.0,1000000,1,1073741824,3.814697265625e-06,,,,,,,,,0.10000381469726563,,,,,
DiT_mini_parity_N8192_D36_G6_even,DiT,mini,6,8192,36,6,384,6,0.0001,0.0,1000000,1,1073741824,7.62939453125e-06,251552.0,251552.0,251552.0,,,,,,0.10000762939453126,,,,,
DiT_mini_parity_N16384_D36_G6_even,DiT,mini,6,16384,36,6,384,6,0.0001,0.0,1000000,1,1073741824,1.52587890625e-05,332448.0,332448.0,332448.0,,,,,,0.1000152587890625,,,,,
DiT_mini_parity_N65536_D36_G6_even,DiT,mini,6,65536,36,6,384,6,0.0001,0.0,1000000,1,1073741824,6.103515625e-05,,,,,,,,,0.10006103515625,,,,,
DiT_mini_parity_N1024_D36_G9_even,DiT,mini,9,1024,36,6,384,6,0.0001,0.0,1000000,1,4294967296,2.384185791015625e-07,510624.0,646816.0,975520.0,99664.0,128672.0,163488.0,215712.0,99664.0,0.10000023841857911,-547152.0,-518144.0,-483328.0,-431104.0,-547152.0
DiT_mini_parity_N2048_D36_G9_even,DiT,mini,9,2048,36,6,384,6,0.0001,0.0,1000000,1,4294967296,4.76837158203125e-07,,,,203424.0,273056.0,343712.0,469664.0,203424.0,0.10000047683715821,,,,,
DiT_mini_parity_N4096_D36_G9_even,DiT,mini,9,4096,36,6,384,6,0.0001,0.0,1000000,1,4294967296,9.5367431640625e-07,,,,411296.0,538272.0,711328.0,,411296.0,0.10000095367431641,,,,,
DiT_mini_parity_N4096_D36_G9_even_rep2,DiT,mini,9,4096,36,6,384,6,0.0001,0.0,1000000,2,4294967296,9.5367431640625e-07,,,,437920.0,554656.0,857760.0,,437920.0,0.10000095367431641,,,,,
DiT_mini_parity_N8192_D36_G9_even,DiT,mini,9,8192,36,6,384,6,0.0001,0.0,1000000,1,4294967296,1.9073486328125e-06,,,,,,,,,0.10000190734863282,,,,,
DiT_mini_parity_N16384_D36_G9_even,DiT,mini,9,16384,36,6,384,6,0.0001,0.0,1000000,1,4294967296,3.814697265625e-06,,,,,,,,,0.10000381469726563,,,,,
DiT_mini_parity_N65536_D36_G9_even,DiT,mini,9,65536,36,6,384,6,0.0001,0.0,1000000,1,4294967296,1.52587890625e-05,,,,,,,,,0.1000152587890625,,,,,
DiT_mini_parity_N1024_D36_G12_even,DiT,mini,12,1024,36,6,384,6,0.0001,0.0,1000000,1,8589934592,1.1920928955078125e-07,443040.0,632480.0,962208.0,95056.0,119456.0,152224.0,200352.0,95056.0,0.10000011920928956,-537424.0,-513024.0,-480256.0,-432128.0,-537424.0
DiT_mini_parity_N2048_D36_G12_even,DiT,mini,12,2048,36,6,384,6,0.0001,0.0,1000000,1,8589934592,2.384185791015625e-07,,,,197280.0,239264.0,312992.0,480928.0,197280.0,0.10000023841857911,,,,,
DiT_mini_parity_N4096_D36_G12_even,DiT,mini,12,4096,36,6,384,6,0.0001,0.0,1000000,1,8589934592,4.76837158203125e-07,,,,438944.0,570016.0,858784.0,,438944.0,0.10000047683715821,,,,,
DiT_mini_parity_N4096_D36_G12_even_rep2,DiT,mini,12,4096,36,6,384,6,0.0001,0.0,1000000,2,8589934592,4.76837158203125e-07,,,,541344.0,698016.0,989856.0,,541344.0,0.10000047683715821,,,,,
DiT_mini_parity_N8192_D36_G12_even,DiT,mini,12,8192,36,6,384,6,0.0001,0.0,1000000,1,8589934592,9.5367431640625e-07,,,,,,,,,0.10000095367431641,,,,,
DiT_mini_parity_N16384_D36_G12_even,DiT,mini,12,16384,36,6,384,6,0.0001,0.0,1000000,1,8589934592,1.9073486328125e-06,,,,,,,,,0.10000190734863282,,,,,
DiT_mini_parity_N65536_D36_G12_even,DiT,mini,12,65536,36,6,384,6,0.0001,0.0,1000000,1,8589934592,7.62939453125e-06,,,,,,,,,0.10000762939453126,,,,,
DiT_mini_parity_N1024_D36_G18_even,DiT,mini,18,1024,36,6,384,6,0.0001,0.0,1000000,1,17179869184,5.960464477539063e-08,357024.0,481952.0,728736.0,84304.0,103072.0,123552.0,167584.0,84304.0,0.10000005960464478,-397648.0,-378880.0,-358400.0,-314368.0,-397648.0
DiT_mini_parity_N2048_D36_G18_even,DiT,mini,18,2048,36,6,384,6,0.0001,0.0,1000000,1,17179869184,1.1920928955078125e-07,,,,209568.0,276128.0,351904.0,459424.0,209568.0,0.10000011920928956,,,,,
DiT_mini_parity_N4096_D36_G18_even,DiT,mini,18,4096,36,6,384,6,0.0001,0.0,1000000,1,17179869184,2.384185791015625e-07,,,,430752.0,558752.0,756384.0,,430752.0,0.10000023841857911,,,,,
DiT_mini_parity_N4096_D36_G18_even_rep2,DiT,mini,18,4096,36,6,384,6,0.0001,0.0,1000000,2,17179869184,2.384185791015625e-07,,,,435872.0,557728.0,819872.0,,435872.0,0.10000023841857911,,,,,
DiT_mini_parity_N8192_D36_G18_even,DiT,mini,18,8192,36,6,384,6,0.0001,0.0,1000000,1,17179869184,4.76837158203125e-07,,,,,,,,,0.10000047683715821,,,,,
DiT_mini_parity_N16384_D36_G18_even,DiT,mini,18,16384,36,6,384,6,0.0001,0.0,1000000,1,17179869184,9.5367431640625e-07,,,,,,,,,0.10000095367431641,,,,,
DiT_mini_parity_N65536_D36_G18_even,DiT,mini,18,65536,36,6,384,6,0.0001,0.0,1000000,1,17179869184,3.814697265625e-06,,,,,,,,,0.10000381469726563,,,,,
