size,N,G,Eval/BitGroup_Mem_Num,Eval/BitGroup_Mem_Ratio,Eval/PerGroup_Accuracy,Eval/PerGroup_Correct,Eval/Sample_Accuracy,Eval/Sample_Correct,Eval/Sample_Mem_Num,Eval/Sample_Mem_Ratio,Training/Gradient_Norm,Training/Learning_Rate,Training/Loss_Avg,Training/Loss_Step
B,32768,2,36864.0,1.0,1.0,36864.0,1.0,2048.0,2040.0,0.99609375,0.06960013508796692,9.999999747378752e-05,0.32593637704849243,0.2926534414291382
B,32768,3,24576.0,1.0,1.0,24576.0,1.0,2048.0,2040.0,0.99609375,0.11552183330059052,9.999999747378752e-05,0.36012712121009827,0.29329216480255127
B,32768,4,18432.0,1.0,1.0,18432.0,1.0,2048.0,2034.0,0.9931640625,0.09612295776605606,9.999999747378752e-05,0.372055321931839,0.29239368438720703
B,32768,6,12284.0,0.9996744990348816,0.9996744990348816,12284.0,0.998046875,2044.0,2039.0,0.99560546875,0.15491563081741333,9.999999747378752e-05,0.465914785861969,0.2934119999408722
B,32768,9,8187.0,0.9993896484375,0.9993896484375,8187.0,0.998046875,2044.0,2044.0,0.998046875,0.11847465485334396,9.999999747378752e-05,0.4156392216682434,0.29232823848724365
B,32768,12,6142.0,0.9996744990348816,0.9996744990348816,6142.0,0.9990234375,2046.0,2045.0,0.99853515625,0.1673118621110916,9.999999747378752e-05,0.40834879875183105,0.29317963123321533
B,32768,18,4083.0,0.996826171875,0.997314453125,4085.0,0.99609375,2040.0,2039.0,0.99560546875,0.187703475356102,9.999999747378752e-05,0.40201088786125183,0.29531481862068176
B,32768,36,2046.0,0.9990234375,0.9990234375,2046.0,0.9990234375,2046.0,2046.0,0.9990234375,0.19856856763362885,9.999999747378752e-05,0.42463865876197815,0.29361891746520996
mini,4096,2,36864.0,1.0,1.0,36864.0,1.0,2048.0,2047.0,0.99951171875,0.031081128865480423,9.999999747378752e-05,0.24082735180854797,0.23132631182670593
mini,4096,3,24576.0,1.0,1.0,24576.0,1.0,2048.0,2048.0,1.0,0.0660657063126564,9.999999747378752e-05,0.25015199184417725,0.23183748126029968
mini,4096,4,18432.0,1.0,1.0,18432.0,1.0,2048.0,2048.0,1.0,0.07849154621362686,9.999999747378752e-05,0.2563563585281372,0.23193518817424774
mini,4096,6,12288.0,1.0,1.0,12288.0,1.0,2048.0,2048.0,1.0,0.11551820486783981,9.999999747378752e-05,0.2618095874786377,0.23219913244247437
mini,4096,9,8190.0,0.999755859375,0.999755859375,8190.0,0.99951171875,2047.0,2047.0,0.99951171875,0.0987260714173317,9.999999747378752e-05,0.26501619815826416,0.23262640833854675
mini,4096,12,6144.0,1.0,1.0,6144.0,1.0,2048.0,2048.0,1.0,0.09432223439216614,9.999999747378752e-05,0.26672783493995667,0.23195722699165344
mini,4096,18,4096.0,1.0,1.0,4096.0,1.0,2048.0,2048.0,1.0,0.07442120462656021,9.999999747378752e-05,0.26666733622550964,0.23200692236423492
mini,4096,36,2048.0,1.0,1.0,2048.0,1.0,2048.0,2048.0,1.0,0.16468672454357147,9.999999747378752e-05,0.26660922169685364,0.2327468991279602
mini,8192,2,36864.0,1.0,1.0,36864.0,1.0,2048.0,2048.0,1.0,0.09752490371465683,9.999999747378752e-05,0.2701759338378906,0.2517181634902954
mini,8192,3,24576.0,1.0,1.0,24576.0,1.0,2048.0,2047.0,0.99951171875,0.09253901243209839,9.999999747378752e-05,0.28114622831344604,0.25138917565345764
mini,8192,4,18432.0,1.0,1.0,18432.0,1.0,2048.0,2047.0,0.99951171875,0.135079488158226,9.999999747378752e-05,0.29667988419532776,0.2529565095901489
mini,8192,6,12288.0,1.0,1.0,12288.0,1.0,2048.0,2047.0,0.99951171875,0.20772124826908112,9.999999747378752e-05,0.30638372898101807,0.25299566984176636
mini,8192,9,8188.0,0.99951171875,0.9996337890625,8189.0,0.9990234375,2046.0,2046.0,0.9990234375,0.1746538281440735,9.999999747378752e-05,0.31781119108200073,0.2536691427230835
mini,8192,12,6144.0,1.0,1.0,6144.0,1.0,2048.0,2048.0,1.0,0.19064457714557648,9.999999747378752e-05,0.31192344427108765,0.25368207693099976
mini,8192,18,4095.0,0.999755859375,0.999755859375,4095.0,0.99951171875,2047.0,2047.0,0.99951171875,0.22605584561824799,9.999999747378752e-05,0.31878286600112915,0.2560695707798004
