size,N,G,step_to_0.5,step_to_0.9,step_to_0.99
B,32768,2,3,3.0,3.0
B,32768,3,2,2.0,2.0
B,32768,4,1,2.0,2.0
B,32768,6,1,1.0,2.0
B,32768,9,2,2.0,2.0
B,32768,12,2,2.0,2.0
B,32768,18,2,2.0,2.0
B,32768,36,1,1.0,2.0
mini,4096,2,58,62.0,188.0
mini,4096,3,300,308.0,356.0
mini,4096,4,1684,1700.0,1700.0
mini,4096,6,6920,9096.0,12816.0
mini,4096,9,7432,9864.0,14352.0
mini,4096,12,1,10256.0,14096.0
mini,4096,18,7432,10768.0,15888.0
mini,4096,36,2,9864.0,16144.0
mini,8192,2,58,70.0,228.0
mini,8192,3,276,292.0,340.0
mini,8192,4,4132,4388.0,4420.0
mini,8192,6,9608,15632.0,20752.0
mini,8192,9,15632,20496.0,29712.0
mini,8192,12,14352,18448.0,26896.0
mini,8192,18,14864,24080.0,34576.0
mini,8192,36,78,25360.0,34576.0
mini,16384,2,2,74.0,260.0
mini,16384,3,292,308.0,404.0
mini,16384,4,5768,9992.0,9992.0
mini,16384,6,18192,38160.0,42256.0
mini,16384,9,35088,48144.0,68432.0
mini,16384,12,32528,47376.0,81744.0
mini,16384,18,30480,47888.0,73552.0
mini,16384,36,94,44048.0,74064.0
mini,32768,2,66,74.0,308.0
mini,32768,3,300,308.0,364.0
mini,32768,4,4516,11536.0,11536.0
mini,32768,6,29968,76624.0,
mini,32768,9,63824,97616.0,
mini,32768,12,70480,,
mini,32768,18,66896,,
mini,32768,36,7,94544.0,
nano,4096,2,54,66.0,244.0
nano,4096,3,196,220.0,372.0
nano,4096,4,1892,2308.0,2324.0
nano,4096,6,7560,10768.0,17424.0
nano,4096,9,7304,11536.0,21520.0
nano,4096,12,8712,13584.0,22032.0
nano,4096,18,8200,14352.0,28176.0
nano,4096,36,7,13584.0,21776.0
