exp_name,train_sample_num,sample_len,group_size,parity,mean_nn_distance,std_nn_distance,min_nn_distance,max_nn_distance,median_nn_distance,num_samples,dimension,k_neighbors,metric
DiT_mini_parity_N1024_D36_G12_even,1024,36,12,0,5.863311343360692,0.40080225571349715,4.898979663848877,6.324555397033691,5.656854152679443,1024,36,1,euclidean
DiT_mini_parity_N1024_D36_G18_even,1024,36,18,0,5.878861114848405,0.4068837420590235,4.0,6.324555397033691,5.656854152679443,1024,36,1,euclidean
DiT_mini_parity_N1024_D36_G2_even,1024,36,2,0,4.435421387897804,0.6303574085145728,2.8284270763397217,5.656854152679443,4.898979663848877,1024,36,1,euclidean
DiT_mini_parity_N1024_D36_G36_even,1024,36,36,0,5.886121746618301,0.40751771570169415,4.0,6.324555397033691,5.656854152679443,1024,36,1,euclidean
DiT_mini_parity_N1024_D36_G3_even,1024,36,3,0,5.41441101487726,0.488713352750375,2.8284270763397217,6.324555397033691,5.656854152679443,1024,36,1,euclidean
DiT_mini_parity_N1024_D36_G4_even,1024,36,4,0,5.709256430156529,0.4308604716237995,4.0,6.324555397033691,5.656854152679443,1024,36,1,euclidean
DiT_mini_parity_N1024_D36_G6_even,1024,36,6,0,5.854253882076591,0.41596139778775504,4.898979663848877,6.324555397033691,5.656854152679443,1024,36,1,euclidean
DiT_mini_parity_N1024_D36_G9_even,1024,36,9,0,5.8721926850266755,0.3875117985046709,4.898979663848877,6.324555397033691,5.656854152679443,1024,36,1,euclidean
DiT_mini_parity_N16384_D36_G12_even,16384,36,12,0,5.163360023929272,0.4202712517590599,2.8284270763397217,5.656854152679443,4.898979663848877,16384,36,1,euclidean
DiT_mini_parity_N16384_D36_G18_even,16384,36,18,0,5.171722382510779,0.41559810175511636,2.8284270763397217,5.656854152679443,4.898979663848877,16384,36,1,euclidean
DiT_mini_parity_N16384_D36_G2_even,16384,36,2,0,3.1920957345719216,0.5421467237680407,2.8284270763397217,4.898979663848877,2.8284270763397217,16384,36,1,euclidean
DiT_mini_parity_N16384_D36_G36_even,16384,36,36,0,5.164106877491577,0.41395197849250553,2.8284270763397217,5.656854152679443,4.898979663848877,16384,36,1,euclidean
DiT_mini_parity_N16384_D36_G3_even,16384,36,3,0,4.439209970048978,0.5425793265340417,2.8284270763397217,5.656854152679443,4.898979663848877,16384,36,1,euclidean
DiT_mini_parity_N16384_D36_G4_even,16384,36,4,0,4.812593021357316,0.44643162557708854,2.8284270763397217,5.656854152679443,4.898979663848877,16384,36,1,euclidean
DiT_mini_parity_N16384_D36_G6_even,16384,36,6,0,5.076402140664868,0.43544776538166785,2.8284270763397217,5.656854152679443,4.898979663848877,16384,36,1,euclidean
DiT_mini_parity_N16384_D36_G9_even,16384,36,9,0,5.160172384552425,0.42454534119778853,2.8284270763397217,5.656854152679443,4.898979663848877,16384,36,1,euclidean
DiT_mini_parity_N2048_D36_G12_even,2048,36,12,0,5.648080835584551,0.38725147220057815,4.0,6.324555397033691,5.656854152679443,2048,36,1,euclidean
DiT_mini_parity_N2048_D36_G18_even,2048,36,18,0,5.662923721596599,0.3771365937571071,4.898979663848877,6.324555397033691,5.656854152679443,2048,36,1,euclidean
DiT_mini_parity_N2048_D36_G2_even,2048,36,2,0,4.058509496739134,0.6443755314522165,2.8284270763397217,5.656854152679443,4.0,2048,36,1,euclidean
DiT_mini_parity_N2048_D36_G36_even,2048,36,36,0,5.667716018622741,0.3928593022229678,4.0,6.324555397033691,5.656854152679443,2048,36,1,euclidean
DiT_mini_parity_N2048_D36_G3_even,2048,36,3,0,5.185491075972095,0.48547157651125705,2.8284270763397217,6.324555397033691,4.898979663848877,2048,36,1,euclidean
DiT_mini_parity_N2048_D36_G4_even,2048,36,4,0,5.4947903014253825,0.4082330517819016,4.0,6.324555397033691,5.656854152679443,2048,36,1,euclidean
DiT_mini_parity_N2048_D36_G6_even,2048,36,6,0,5.6415226857643574,0.387019173546906,4.0,6.324555397033691,5.656854152679443,2048,36,1,euclidean
DiT_mini_parity_N2048_D36_G9_even,2048,36,9,0,5.644086863845587,0.38999428010804893,4.0,6.324555397033691,5.656854152679443,2048,36,1,euclidean
DiT_mini_parity_N4096_D36_G12_even,4096,36,12,0,5.490983109571971,0.3528380853176786,4.0,6.324555397033691,5.656854152679443,4096,36,1,euclidean
DiT_mini_parity_N4096_D36_G18_even,4096,36,18,0,5.508793368702754,0.3463986353760847,4.0,6.324555397033691,5.656854152679443,4096,36,1,euclidean
DiT_mini_parity_N4096_D36_G2_even,4096,36,2,0,3.7612638955470175,0.5857715652666595,2.8284270763397217,4.898979663848877,4.0,4096,36,1,euclidean
DiT_mini_parity_N4096_D36_G36_even,4096,36,36,0,5.505805198219605,0.34879150440024936,4.0,6.324555397033691,5.656854152679443,4096,36,1,euclidean
DiT_mini_parity_N4096_D36_G3_even,4096,36,3,0,4.91932491119951,0.5186456854746624,2.8284270763397217,5.656854152679443,4.898979663848877,4096,36,1,euclidean
DiT_mini_parity_N4096_D36_G4_even,4096,36,4,0,5.273756491718814,0.4697826346265665,2.8284270763397217,6.324555397033691,5.656854152679443,4096,36,1,euclidean
DiT_mini_parity_N4096_D36_G6_even,4096,36,6,0,5.467189175658859,0.3884041749035348,2.8284270763397217,6.324555397033691,5.656854152679443,4096,36,1,euclidean
DiT_mini_parity_N4096_D36_G9_even,4096,36,9,0,5.5035408328985795,0.3509233614688788,4.0,6.324555397033691,5.656854152679443,4096,36,1,euclidean
DiT_mini_parity_N65536_D36_G12_even,65536,36,12,0,4.8180841666981,0.31258913321509213,2.8284270763397217,5.656854152679443,4.898979663848877,65536,36,1,euclidean
DiT_mini_parity_N65536_D36_G18_even,65536,36,18,0,4.817779141681967,0.3116265573903766,2.8284270763397217,5.656854152679443,4.898979663848877,65536,36,1,euclidean
DiT_mini_parity_N65536_D36_G2_even,65536,36,2,0,2.835184500734613,0.08871951685104706,2.8284270763397217,4.0,2.8284270763397217,65536,36,1,euclidean
DiT_mini_parity_N65536_D36_G36_even,65536,36,36,0,4.815942657507549,0.3110255299288808,2.8284270763397217,5.656854152679443,4.898979663848877,65536,36,1,euclidean
DiT_mini_parity_N65536_D36_G3_even,65536,36,3,0,3.9245681501452054,0.4898743320005314,2.8284270763397217,4.898979663848877,4.0,65536,36,1,euclidean
DiT_mini_parity_N65536_D36_G4_even,65536,36,4,0,4.428610490220308,0.5111862430248564,2.8284270763397217,5.656854152679443,4.898979663848877,65536,36,1,euclidean
DiT_mini_parity_N65536_D36_G6_even,65536,36,6,0,4.724421965791407,0.3875246891349987,2.8284270763397217,5.656854152679443,4.898979663848877,65536,36,1,euclidean
DiT_mini_parity_N65536_D36_G9_even,65536,36,9,0,4.804839286298375,0.3310072930005071,2.8284270763397217,5.656854152679443,4.898979663848877,65536,36,1,euclidean
DiT_mini_parity_N8192_D36_G12_even,8192,36,12,0,5.353472765593324,0.3983575031544713,2.8284270763397217,6.324555397033691,5.656854152679443,8192,36,1,euclidean
DiT_mini_parity_N8192_D36_G18_even,8192,36,18,0,5.349233794899192,0.4085924307102967,2.8284270763397217,6.324555397033691,5.656854152679443,8192,36,1,euclidean
